"Part";"Value";"Device";"Package";"Description";"BUILT_BY";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DESIGNER";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"HOUSEPART";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MFG";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULATE";"POULATE";"PRICE";"PROD_ID";"PURCHASE-URL";"REV";"SF_ID";"SOURCELIBRARY";"SUPPLIER";"TOLERANCE";"URL";"VALUE";"VENDOR";"VOLTAGE";
"C1";"0.1uF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"MF-CAP-0805-0.1uF";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"1uF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0805-1uF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"1uF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0805-1uF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"10nF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"No";"";"";"";"";"";"08051C103K4T2A";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"10nF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"No";"";"";"";"";"";"08051C103K4T2A";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"0.1uF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"Yes";"";"";"";"";"";"MF-CAP-0805-0.1uF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"Yes";"";"";"";"";"";"MF-CAP-0805-0.1uF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"470uF";"CAPACITOR_P_10MM";"CP10MM";"Library:  MF_Passives";"";"";"";"";"";"";"";"1";"";"";"";"";"";"MF-CAP-10MM-470uF";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"0.1uF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"MF-CAP-0805-0.1uF";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"10nF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"No";"";"";"";"";"";"08051C103K4T2A";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"47pF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"MF-CAP-0805-0.1uF";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"BAT42";"DIODES_BAT42_SOD-123";"SOD-123";"Library:  MF_Discrete_Semiconductor";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"MF-DIO-SOD123-BAT42";"";"";"";"1";"";"";"";"";"";"";"";"";"";"https://factory.macrofab.com/part/MF-DIO-SOD123-BAT42";"MF-DIO-SOD123-BAT42";"";"";
"D2";"BAT42";"DIODES_BAT42_SOD-123";"SOD-123";"Library:  MF_Discrete_Semiconductor";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"MF-DIO-SOD123-BAT42";"";"";"";"1";"";"";"";"";"";"";"";"";"";"https://factory.macrofab.com/part/MF-DIO-SOD123-BAT42";"MF-DIO-SOD123-BAT42";"";"";
"D3";"6.2V/500mW";"DIODE-ZENER-DZ2J150M0L";"PANASONIC_SMINI2-F5-B";"Zener Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"TDZ6V2J,115";"";"";"";"1";"";"";"DIO-12989";"";"";"";"";"";"";"";"15V";"";"";
"F1";"63V/1.5A";"PPTC_HALF-AMP";"1206";"Resettable Fuse PPTC";"";"";"";"";"";"";"";"";"";"";"";"";"";"046801.5NR";"";"";"";"";"";"";"RES-08585";"";"";"";"";"";"";"";"6V/0.5A";"";"";
"F2";"6V/0.5A";"PPTC_HALF-AMP";"1206";"Resettable Fuse PPTC";"";"";"";"";"";"";"";"";"";"";"";"";"";"0466.500NR";"";"";"";"";"";"";"RES-08585";"";"";"";"";"";"";"";"6V/0.5A";"";"";
"F3";"6V/0.5A";"PPTC_HALF-AMP";"1206";"Resettable Fuse PPTC";"";"";"";"";"";"";"";"";"";"";"";"";"";"0466.500NR";"";"";"";"";"";"";"RES-08585";"";"";"";"";"";"";"";"6V/0.5A";"";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FRAME3";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"G1";"D5V0L4B5TS";"D5V0L4B5TS";"SOT-23-5";"4 CHANNEL LOW CAPACITANCE BI-DIRECTIONAL TVS ARRAY";"";"";"";"";"";"";"";"";"";"";"";"";"";"D5V0L4B5TS-7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"S2B-PH-SM4-TB(LF)(SN)";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"JST S2B-PH-SM4-TB(LF)(SN)";"";"";"";"";"";"";"";"";"CONN-11443";"";"";"PRT-08612";"";"";"";"";"";"";"";
"J2";"S2B-PH-SM4-TB(LF)(SN)";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"JST S2B-PH-SM4-TB(LF)(SN)";"";"";"";"";"";"";"";"";"CONN-11443";"";"";"PRT-08612";"";"";"";"";"";"";"";
"J3";"BM04B-SRSS-TBT(LF)(SN)";"BM04B-SRSS-TBT(LF)(SN)";"CONN_BM04B-SRSS-TBT(LF)(SN)";"1.0mm Pitch, Ultra-Compact, Low Profile Design, Interchangeable Shrouded Header";"";"";"";" 1.0mm Pitch, Ultra-Compact, Low Profile Design, Interchangeable Shrouded Header ";"";"";"";"";"";"";"JST Sales";"";"BM04B-SRSS-TBT(LF)(SN)";"";"";"";"None";"1";"";"None";"";"";"";"";"";"";"";"";"";"";"";
"J4";"BM06B-SRSS-TBT(LF)(SN)";"BM06B-SRSS-TBT(LF)(SN)";"JST_BM06B-SRSS-TB(LF)(SN)";"6 Position 1.0mm Top-Entry Surface Mount Shrouded Header";"";"";"";"";"";"";"";"";"";"";"";"";"";"BM06B-SRSS-TBT(LF)(SN)";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"BM06B-SRSS-TBT(LF)(SN)";"BM06B-SRSS-TBT(LF)(SN)";"JST_BM06B-SRSS-TB(LF)(SN)";"6 Position 1.0mm Top-Entry Surface Mount Shrouded Header";"";"";"";"";"";"";"";"";"";"";"";"";"";"BM06B-SRSS-TBT(LF)(SN)";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J6";"BM06B-SRSS-TBT(LF)(SN)";"BM06B-SRSS-TBT(LF)(SN)";"JST_BM06B-SRSS-TB(LF)(SN)";"6 Position 1.0mm Top-Entry Surface Mount Shrouded Header";"";"";"";"";"";"";"";"";"";"";"";"";"";"BM06B-SRSS-TBT(LF)(SN)";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J7";"BM04B-SRSS-TBT(LF)(SN)";"BM04B-SRSS-TBT(LF)(SN)";"CONN_BM04B-SRSS-TBT(LF)(SN)";"1.0mm Pitch, Ultra-Compact, Low Profile Design, Interchangeable Shrouded Header";"";"";"";" 1.0mm Pitch, Ultra-Compact, Low Profile Design, Interchangeable Shrouded Header ";"";"";"";"";"";"";"JST Sales";"";"BM04B-SRSS-TBT(LF)(SN)";"";"";"";"None";"1";"";"None";"";"";"";"";"";"";"";"";"";"";"";
"J8";"BM04B-SRSS-TBT(LF)(SN)";"BM04B-SRSS-TBT(LF)(SN)";"CONN_BM04B-SRSS-TBT(LF)(SN)";"1.0mm Pitch, Ultra-Compact, Low Profile Design, Interchangeable Shrouded Header";"";"";"";" 1.0mm Pitch, Ultra-Compact, Low Profile Design, Interchangeable Shrouded Header ";"";"";"";"";"";"";"JST Sales";"";"BM04B-SRSS-TBT(LF)(SN)";"";"";"";"None";"1";"";"None";"";"";"";"";"";"";"";"";"";"";"";
"J9";"BM04B-SRSS-TBT(LF)(SN)";"BM04B-SRSS-TBT(LF)(SN)";"CONN_BM04B-SRSS-TBT(LF)(SN)";"1.0mm Pitch, Ultra-Compact, Low Profile Design, Interchangeable Shrouded Header";"";"";"";" 1.0mm Pitch, Ultra-Compact, Low Profile Design, Interchangeable Shrouded Header ";"";"";"";"";"";"";"JST Sales";"";"BM04B-SRSS-TBT(LF)(SN)";"";"";"";"None";"1";"";"None";"";"";"";"";"";"";"";"";"";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP6";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP7";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"P1";"Particle Boron / Xenon / Argon";"PARTICLE-DEVICES-BORON";"PARTICLE-DEVICES_BORON";"Particle Boron Device for Carrier Board Placement";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q2";"BSS138";"BSS138";"SOT-23_3L_ONS";"";"EMA_Justin";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"https://www.onsemi.com/pub/Collateral/BSS138-D.PDF";"";"";"";"";"";"";"BSS138";"";"";"";"MF-DSC-SOT233-BSS138";"";"";"";"";"";"";"";"";"";"";"ON_Semiconductor_2020-01-13";"";"";"";"";"ON Semiconductor";"";
